Age,Gender,City,Position,Total years of experience,Seniority level,Your main technology,Yearly brutto salary in EUR,Main language at work,Company size,Company type
35,Male,Munich,Software Engineer,13,Senior,Java,88000,English,101-1000,Product
46,Male,Munich,QA Engineer,13,Senior,Java,88000,German,101-1000,Product
35,Male,Munich,Software Engineer,13,Lead,Pegasystems platform,87600,English,51-100,Consulting
38,Male,Berlin,Software Engineer,13,Lead,Java,87550,English,1000+,Product
33,Male,Berlin,Software Engineer,13,Senior,Ruby,87500,English,1000+,Product
35,Male,Hamburg,Software Engineer,13,Lead,Python,87000,English,51-100,Startup
34,Male,Berlin,Software Engineer,13,Lead,Kotlin,87000,English,1000+,Product
35,Male,Berlin,Backend Developer,13,Senior,NodeJS,87000,English,up to 10,Startup
33,Male,Berlin,Backend Developer,13,Senior,Java,87000,English,101-1000,Product
33,Male,Berlin,Data Engineer,13,Senior,Python,87000,English,101-1000,Startup
32,Male,Amsterdam,Mobile Developer,13,Senior,Kotlin,87000,English,1000+,Bank
33,Male,Munich,Software Engineer,13,Senior,Java,87000,English,101-1000,Startup
34,Male,Berlin,Frontend Developer,13,Lead,Javascript / Typescript,87000,English,101-1000,Product
32,Male,Berlin,Frontend Developer,13,Senior,Javascript / Typescript,87000,English,Nov-50,Product
35,Male,Berlin,Software Engineer,13,Lead,Javascript / Typescript,87000,English,101-1000,Startup
34,Male,Berlin,Backend Developer,13,Senior,Elixir,86700,English,101-1000,Product
32,Male,Siegen,Software Engineer,13,Junior,C,86000,English,51-100,Product
33,Male,Berlin,Backend Developer,13,Senior,Java,86000,English,101-1000,Product
46,Male,Stuttgart,Software Engineer,13,Middle,C++,86000,English,1000+,Product
34,Male,Berlin,Lead Software Developer,13,Lead,C#,86000,English,51-100,Product
34,Male,Munich,Backend Developer,13,Lead,Java,86000,English,Nov-50,Startup
33,Male,Berlin,Backend Developer,13,Senior,Python,86000,English,51-100,Startup
36,Male,Munich,Software Engineer,13,Head,Java,86000,English,101-1000,Product
32,Male,Berlin,Software Engineer,13,Lead,Javascript / Typescript,85600,English,1000+,Product
33,Female,Berlin,Frontend Developer,13,Middle,Javascript / Typescript,85000,English,1000+,Product
35,Male,Berlin,Backend Developer,13,Senior,PHP,85000,English,1000+,Product
33,Male,Munich,Backend Developer,13,Senior,Java,85000,English,51-100,Product
32,Male,Munich,Software Engineer,13,Middle,Java,85000,English,1000+,Product
33,Male,Berlin,Fullstack Developer,13,Senior,PHP,85000,English,51-100,Startup
32,Male,Berlin,DevOps,13,Senior,Not Relevant,85000,English,51-100,Product
32,Male,Berlin,Software Architect,13,Senior,Java,85000,English,101-1000,Product
36,Female,Munich,Backend Developer,13,Senior,Python,85000,English,51-100,Startup
33,Male,Leipzig,Mobile Developer,13,Senior,Kotlin,85000,English,101-1000,Consulting
30,Male,Berlin,Backend Developer,13,Middle,Javascript / Typescript,85000,English,1000+,Product
36,Male,Berlin,Manager,13,Senior,Java,85000,English,1000+,Product
38,Male,Berlin,Backend Developer,13,Senior,Java,85000,Deutsch,101-1000,Product
32,Male,Berlin,QA,13,Senior,Java,85000,English,101-1000,Product
36,Male,Munich,Backend Developer,13,Senior,PHP,85000,English,51-100,Product
30,Male,Cologne,Software Engineer,13,Senior,C++,85000,English,51-100,Product
34,Male,Berlin,Backend Developer,13,Senior,Python,85000,English,101-1000,Product
35,Male,Frankfurt,Product Manager,13,Senior,Not Relevant,85000,Deutsch,Nov-50,Startup
34,Male,Pforzheim,Backend Developer,13,Senior,Java,85000,Deutsch,51-100,Product
39,Male,Munich,Data Scientist,13,Senior,Python,85000,English,101-1000,Product
30,Female,Berlin,QA,13,Senior,Java,85000,English,Nov-50,Startup
37,Male,Berlin,Data Engineer,13,Senior,Python,85000,English,51-100,Product
32,Female,Berlin,Backend Developer,13,Senior,PHP,85000,English,101-1000,Startup
35,Male,Berlin,Backend Developer,13,Senior,Java,85000,English,101-1000,Product
35,Female,Amsterdam,Backend Developer,13,Senior,.NET,85000,English,1000+,Product
30,Male,Munich,Software Architect,13,Senior,Java,85000,Deutsch,51-100,Startup
34,Female,Kyiv,Researcher,13,Senior,C++,85000,English,101-1000,University
34,Male,Munich,Manager,13,Senior,Java,85000,Deutsch,101-1000,Product
33,Male,Amsterdam,IT Security,13,Senior,Python,85000,English,51-100,Startup
34,Male,Berlin,Cloud Engineer,13,Senior,Azure,85000,Deutsch,1000+,Consulting
35,Male,Munich,Embedded Developer,13,Senior,C++,85000,English,51-100,Consulting
35,Male,Berlin,SRE,13,Senior,Kubernetes,85000,English,51-100,Product
34,Male,Cologne,Desktop,13,Senior,C++,85000,English,51-100,Product
29,Male,Berlin,Software Engineer,12,Lead,Javascript / Typescript,85000,English,101-1000,Product
33,Female,Berlin,Software Engineer,12,Senior,С#,85000,English,1000+,Product
44,Male,Berlin,Backend Developer,12,Senior,Java,85000,English,Nov-50,Product
36,Male,Berlin,Frontend Developer,12,Senior,Javascript / Typescript,85000,English,up to 10,Startup
35,Male,Frankfurt,ML Engineer,12,Senior,ML,85000,English,1000+,Product
33,Male,Berlin,Backend Developer,12,Lead,PHP,85000,English,101-1000,Product
37,Male,Munich,Backend Developer,12,Senior,PHP,85000,English,101-1000,Product
35,Male,Berlin,Software Engineer,12,Senior,C#,85000,English,1000+,Product
35,Male,Frankfurt,Software Engineer,12,Senior,Java,85000,German,51-100,Consulting
36,Male,Rosenheim,Data Science Manager,12,Manager,Python,85000,English,1000+,Construction
46,Male,Munich,Scrum Master,12,Senior,Agile,85000,German,1000+,Product
31,Male,Munich,Frontend Developer,12,Lead,Javascript / Typescript,85000,English,Nov-50,Startup
33,Male,Berlin,Software Engineer,12,Senior,Javascript / Typescript,85000,English,101-1000,Product
36,Male,Munich,Solutions Architect,12,Lead,Cloud,85000,English,1000+,Product
34,Male,Munich,Software Engineer,12,Lead,Python,85000,English,Nov-50,Product
37,Male,Berlin,Team Lead,12,Head,Python,85000,English,Nov-50,Consulting
39,Male,Munich,Software Engineer,12,Lead,PHP,85000,English,up to 10,Consulting
38,Male,Munich,Backend Developer,12,Senior,Java,85000,German,101-1000,Consulting
38,Male,Hamburg,Software Engineer,12,Senior,Java,85000,English,51-100,Product
32,Male,Berlin,Software Engineer,12,Senior,iOS,85000,English,51-100,Product
34,Male,Berlin,ML Engineer,12,Senior,Python,85000,English,1000+,Product
34,Male,Berlin,DevOps,12,Senior,Java,84700,English,101-1000,Product
35,Female,Berlin,Frontend Developer,12,Middle,Javascript / Typescript,84000,English,101-1000,E-commerce
34,Male,Berlin,Software Engineer,12,Lead,.NET,84000,German,1000+,Product
29,Male,Berlin,Software Engineer,12,Senior,Go,84000,English,101-1000,Product
32,Male,Berlin,Software Engineer,12,Senior,Java,84000,English,1000+,Product
42,Female,Munich,Software tester,12,Senior,Java,84000,German,51-100,Product
32,Male,Hamburg,Software Engineer,12,Senior,Java,84000,German,101-1000,Product
34,Male,Tallinn,Software Engineer,12,Middle,PHP,83400,English,101-1000,Product
33,Male,Berlin,Software Engineer,12,Lead,Go,83000,English,101-1000,Product
37,Male,Berlin,Backend Developer,12,Senior,Java,83000,English,101-1000,Startup
34,Male,Munich,Software Engineer,12,Senior,Java,83000,English,101-1000,Product
35,Male,Berlin,QA Engineer,12,Senior,Javascript,83000,English,101-1000,Product
39,Male,Cologne,Teamlead,12,Head,PHP,83000,German,up to 10,Startup
35,Male,Berlin,Backend Developer,12,Senior,PHP,83000,English,101-1000,Product
31,Male,Berlin,Software Engineer,12,Senior,Java,83000,English,1000+,Product
37,Male,Berlin,Backend Developer,12,Lead,Kotlin,83000,English,Nov-50,Product
42,Male,Berlin,Software Engineer,12,Lead,Java,83000,English,101-1000,Product
34,Male,Berlin,DevOps,12,Lead,Kubernetes,83000,English,1000+,Product
33,Male,Munich,Backend Developer,12,Middle,PHP,83000,English,101-1000,Product
39,Male,Düsseldorf,Technical project manager,12,Senior,PHP,82500,German,1000+,Consulting
38,Male,Berlin,Software Engineer,12,Senior,Java,82500,English,1000+,Product
35,Male,Berlin,Data Scientist,12,Senior,Python,82500,English,1000+,Startup
35,Male,Luttich,Data Scientist,12,Lead,Python,82000,English,1000+,Product
38,Male,Munich,Product Manager,12,Senior,NodeJS,82000,English,1000+,Product
39,Male,Berlin,Software Engineer,12,Lead,Javascript / Typescript,82000,English,1000+,Product
30,Male,Munich,Software Sales,12,Senior,Cloud,82000,English,1000+,Product
35,Male,Berlin,Software Engineer,12,Middle,Kotlin,82000,English,1000+,Product
37,Male,Berlin,Software Engineer,12,Middle,PHP,82000,English,1000+,Product
34,Male,Munich,DevOps,12,Middle,Java,82000,English,101-1000,Product
34,Male,Berlin,Backend Developer,12,Senior,Kotlin,82000,English,1000+,Product
36,Male,Berlin,Backend Developer,12,Senior,Python,82000,English,1000+,Startup
33,Male,Stuttgart,Team Lead,12,Lead,PHP,82000,German,101-1000,Consulting
35,Male,Munich,Software Engineer,12,Lead,Python,82000,English,51-100,Product
35,Male,Karlsruhe,Software Engineer,12,Senior,.Net,82000,English,1000+,Product
34,Male,Berlin,Backend Developer,12,Senior,Java,82000,English,51-100,Startup
33,Male,Berlin,DevOps,12,Senior,Kubernetes,82000,English,1000+,Product
31,Male,Berlin,Fullstack Developer,12,Senior,Javascript / Typescript,82000,English,1000+,Product
30,Male,Berlin,Backend Developer,12,Senior,Java,82000,English,1000+,Product
35,Male,Munich,Embedded Developer,12,Senior,C++,82000,English,101-1000,Consulting
40,Male,Munich,Mobile Developer,12,Senior,Swift,82000,English,Nov-50,Product
32,Female,Berlin,Backend Developer,12,Senior,.NET,82000,English,1000+,Product
37,Male,Berlin,Backend Developer,12,Lead,Java,81900,English,1000+,Product
32,Male,Berlin,Backend Developer,12,Senior,PHP,81600,English,51-100,Product
31,Male,Berlin,"CTO (CEO, CFO)",12,Head,Java,81500,English,1000+,Product
32,Female,Berlin,Frontend Developer,12,Middle,Javascript / Typescript,81200,English,1000+,Product
45,Male,Munich,QA,12,Senior,Java,81000,Deutsch,101-1000,Product
33,Male,Berlin,Software Architect,12,Senior,Go,81000,English,101-1000,Product
32,Male,Berlin,Backend Developer,12,Senior,Ruby,81000,Russian,101-1000,Product
34,Male,Karlsruhe,Fullstack Developer,12,Senior,Javascript / Typescript,81000,English,101-1000,Product
34,Female,Berlin,QA,12,Senior,.NET,81000,Deutsch,1000+,Product
38,Male,Munich,Manager,12,Senior,Not Relevant,81000,English,1000+,Consulting
32,Male,Munich,Backend Developer,12,Middle,Java,81000,English,101-1000,Startup
30,Male,Berlin,Backend Developer,12,Senior,Python,81000,English,Nov-50,Startup
34,Male,Munich,Researcher,12,Senior,C++,81000,English,101-1000,Product
42,Female,Berlin,Backend Developer,12,Senior,PHP,81000,English,51-100,Product
34,Male,Berlin,Embedded Developer,12,Senior,C++,81000,English,101-1000,Startup
32,Male,Vienna,Software Architect,12,Lead,.NET,80500,English,1000+,Product
30,Male,Munich,Software Architect,12,Senior,Java,80000,English,101-1000,Product
30,Male,Munich,Data Scientist,12,Senior,Python,80000,Deutsch,101-1000,Product
35,Female,Madrid,Sales Engineer,12,Middle,Not Relevant,80000,Spanish,1000+,Product
37,Male,Berlin,Backend Developer,12,Senior,Not Relevant,80000,English,51-100,Product
34,Male,Munich,Manager,12,Senior,Not Relevant,80000,English,1000+,Product
35,Male,Frankfurt,Software Architect,12,Senior,AWS,80000,Deutsch,1000+,Consulting
35,Male,Munich,Network Engineer,12,Senior,Not Relevant,80000,Deutsch,up to 10,Consulting
32,Male,Berlin,Data Engineer,12,Senior,AWS,80000,English,101-1000,Startup
30,Male,Zug,Backend Developer,12,Senior,Java,80000,Deutsch,101-1000,Product
35,Male,Berlin,Backend Developer,12,Senior,PHP,80000,English,up to 10,Startup
32,Male,Stuttgart,Frontend Developer,12,Senior,Javascript / Typescript,80000,Deutsch,1000+,Product
37,Male,Hamburg,Backend Developer,12,Senior,Java,80000,English,101-1000,Product
34,Male,Munich,Backend Developer,12,Senior,Java,80000,English,1000+,Product
32,Male,Berlin,Backend Developer,12,Senior,Ruby,80000,English,101-1000,Product
33,Female,Hamburg,QA,12,Senior,Not Relevant,80000,English,101-1000,Product
33,Male,Munich,Backend Developer,12,Senior,Java,80000,Deutsch,101-1000,Consulting
41,Male,Munich,ML Engineer,12,Senior,C++,80000,English,1000+,Product
33,Male,Munich,Fullstack Developer,12,Senior,PHP,80000,English,up to 10,Startup
33,Male,Moscow,Mobile Developer,12,Senior,Kotlin,80000,Russian,Nov-50,Startup
34,Male,Amsterdam,Fullstack Developer,12,Senior,.NET,80000,English,101-1000,Product
32,Male,Amsterdam,Backend Developer,12,Middle,Perl,80000,English,1000+,Product
32,Male,Munich,ML Engineer,12,Lead,C++,80000,English,1000+,Product
34,Male,Zug,Backend Developer,12,Senior,C++,80000,English,Nov-50,Product
33,Male,Munich,ML Engineer,12,Lead,Python,80000,Deutsch,101-1000,Startup
33,Male,Munich,Backend Developer,12,Senior,.NET,80000,English,51-100,Product
30,Male,Amsterdam,Frontend Developer,12,Senior,Javascript / Typescript,80000,English,101-1000,Startup
30,Male,Berlin,Manager,12,Senior,Not Relevant,80000,English,101-1000,Startup
35,Male,Amsterdam,DevOps,12,Senior,Azure,80000,English,51-100,Consulting
34,Male,Berlin,Mobile Developer,11,Lead,kotlin,80000,English,101-1000,Product
35,Male,Munich,Software Engineer,11,Senior,PHP,80000,German,101-1000,Product
31,Male,Berlin,Engineering Manager,11,Lead,Java,80000,English,101-1000,Startup
31,Male,Munich,Backend Developer,11,Senior,PHP,80000,English,1000+,Product
38,Male,Cologne,Software Engineer,11,Senior,PHP,80000,English,101-1000,Product
32,Male,Berlin,Software Engineer,11,Lead,Android,80000,English,101-1000,Product
32,Male,Düsseldorf,Software Engineer,11,Senior,.NET,80000,English,1000+,Consulting
38,Male,Berlin,Backend Developer,11,Senior,Javascript / Typescript,80000,English,up to 10,Startup
30,Male,Berlin,Software Engineer,11,Senior,Kotlin,80000,English,Nov-50,Startup
32,Male,Munich,Backend Developer,11,Senior,PHP,80000,English,1000+,Product
29,Male,Berlin,Backend Developer,11,Senior,Python,80000,English,51-100,Product
31,Male,Munich,Software Engineer,11,Middle,Python,80000,English,1000+,Product
35,Male,Berlin,QA Engineer,11,Senior,Java,80000,English,101-1000,Product
39,Male,Stuttgart,Software Engineer,11,Lead,PHP,80000,English,101-1000,Product
35,Male,Helsinki,Backend Developer,11,Senior,Python,80000,English,101-1000,Product
31,Male,Berlin,DevOps,11,Senior,Terraform,80000,English,101-1000,Startup
40,Male,Braunschweig,SAP BW Senior Consultant,11,Senior,SAP,80000,German,1000+,Financial
31,Female,Berlin,QA Engineer,11,Middle,Javascript,80000,English,101-1000,Startup
39,Male,Berlin,Manager,11,Head,Python,80000,English,1000+,Product
33,Male,Munich,Software Engineer,11,Senior,Python,80000,English,51-100,Startup
40,Male,Berlin,QA Engineer,11,Senior,Python,80000,German,101-1000,Product
33,Male,Berlin,Backend Developer,11,Senior,Scala,80000,German,Nov-50,Startup
30,Male,Berlin,Frontend Developer,11,Senior,Javascript / Typescript,80000,English,1000+,Product
33,Male,Hamburg,Software Engineer,11,Senior,Java,80000,English,Nov-50,Product
33,Male,Munich,Software Engineer,11,Lead,react,80000,English,1000+,Product
33,Male,Munich,Software Engineer,11,Senior,Javascript / Typescript,80000,English,101-1000,Product
33,Male,Heidelberg,Software Engineer,11,Senior,Python,80000,English,101-1000,Institute
32,Male,Berlin,Software Engineer,11,Senior,C++,80000,English,1000+,Product
37,Male,Berlin,Software Engineer,11,Senior,Python,80000,English,101-1000,Product
30,Male,Berlin,data engineer,11,Middle,Python,80000,English,1000+,Product
34,Male,France,Data Scientist,11,Senior,Python,80000,French,1000+,Consulting
29,Male,Berlin,DevOps,11,Lead,Javascript / Typescript,80000,English,up to 10,Startup
34,Female,Hildesheim,QA Engineer,11,Senior,QA,80000,German,1000+,Product
30,Male,Berlin,Software Engineer,11,Senior,C++,80000,English,51-100,Startup
32,Male,Berlin,Software Engineer,11,Senior,Scala,80000,English,1000+,Product
33,Male,Berlin,Software Engineer,11,Senior,Scala,80000,English,1000+,Product
30,Male,Berlin,Software Engineer,11,Senior,Java,80000,English,1000+,Product
33,Male,Berlin,ML Engineer,11,Middle,Python,80000,English,1000+,Product
36,Male,Berlin,Backend Developer,11,Senior,PHP,80000,English,1000+,Product
29,Male,Berlin,Backend Developer,11,Senior,Javascript / Typescript,80000,English,up to 10,Startup
32,Male,Berlin,Backend Developer,11,Senior,PHP,80000,English,51-100,Product
35,Male,Berlin,Frontend Developer,11,Senior,Javascript / Typescript,80000,English,51-100,Product
36,Male,Berlin,Software Engineer,11,Senior,Python,80000,Deutsch,101-1000,Consulting
32,Male,Berlin,Backend Developer,11,Senior,Python,80000,English,1000+,Product
37,Male,Munich,Fullstack Developer,11,Senior,PHP,80000,Deutsch,101-1000,Product
30,Male,Prague,DevOps,11,Senior,Python,80000,English,1000+,Product
48,Female,Munich,Manager,11,Senior,Not Relevant,80000,English,101-1000,Product
30,Male,Munich,QA,11,Senior,Not Relevant,80000,Deutsch,101-1000,Product
36,Male,Berlin,Frontend Developer,11,Senior,Clojure,80000,English,Nov-50,Startup
34,Male,Munich,Backend Developer,11,Senior,Javascript / Typescript,80000,English,51-100,Product
33,Male,Munich,Embedded Developer,11,Senior,C++,80000,Russian,up to 10,Outsourcing
32,Male,Berlin,Backend Developer,11,Senior,Java,80000,English,1000+,Product
30,Male,Berlin,Software Architect,11,Senior,Java,80000,English,1000+,Product
33,Male,Munich,Backend Developer,11,Lead,Java,80000,English,101-1000,Product
30,Male,Amsterdam,ML Engineer,11,Senior,Python,80000,English,1000+,Startup
33,Male,Munich,Backend Developer,11,Senior,AWS,80000,English,1000+,Product
37,Male,Stuttgart,Software Architect,11,Senior,Not Relevant,80000,Deutsch,1000+,Product
33,Male,Munich,Data Scientist,11,Senior,Python,80000,English,51-100,Product
30,Male,Berlin,"CTO (CEO, CFO)",11,Senior,Kotlin,80000,English,Nov-50,Startup
33,Male,Berlin,ML Engineer,11,Senior,Python,80000,English,101-1000,Product
31,Male,Munich,Software Engineer,11,Senior,C++,80000,English,101-1000,Product
46,Male,Hamburg,Fullstack Developer,11,Senior,Java,80000,Deutsch,Nov-50,Product
33,Male,Berlin,Backend Developer,11,Senior,Ruby,80000,English,101-1000,Product
30,Female,Berlin,QA,11,Senior,Not Relevant,80000,English,101-1000,Consulting
33,Male,Berlin,Frontend Developer,11,Senior,Javascript / Typescript,80000,English,Nov-50,Startup
30,Male,Munich,Backend Developer,11,Principal,Java,80000,English,1000+,Product
32,Male,Amsterdam,Mobile Developer,11,Senior,Swift,79300,English,Nov-50,Startup
29,Male,Amsterdam,Backend Developer,11,Senior,Java,79000,English,Nov-50,Product
32,Male,Munich,SRE,11,Senior,Java,79000,Deutsch,101-1000,Product
31,Male,Munich,Head of Engineering,11,Senior,Swift,79000,English,51-100,Startup
33,Male,Munich,Backend Developer,11,Senior,Java,79000,English,101-1000,Product
35,Male,Munich,Software Architect,11,Senior,AWS,79000,English,1000+,Product
31,Male,Düsseldorf,Backend Developer,11,Senior,Python,79000,English,1000+,Product
35,Male,Munich,Game Developer,11,Senior,Unity,79000,English,Nov-50,Startup
33,Male,Berlin,Backend Developer,11,Senior,Go,79000,English,101-1000,Product
38,Male,Berlin,Mobile Developer,11,Senior,Kotlin,79000,English,51-100,Startup
27,Male,Berlin,Fullstack Developer,11,Senior,Not Relevant,79000,English,1000+,Startup
30,Male,Berlin,SRE,11,Senior,Kubernetes,78600,English,1000+,Product
33,Male,Rotterdam,QA,11,Senior,Java,78600,English,101-1000,Product
31,Male,Hamburg,Backend Developer,11,Middle,Java,78500,Deutsch,101-1000,Product
38,Male,Berlin,DevOps,10,Senior,Python,78000,English,51-100,Startup
32,Male,Berlin,Frontend Developer,10,Senior,Javascript / Typescript,78000,English,101-1000,Product
35,Male,Berlin,Backend Developer,10,Senior,Ruby,78000,English,101-1000,Product
39,Female,Berlin,Software Engineer,10,Senior,Java,78000,German,101-1000,Consulting
39,Male,Berlin,Software Engineer,10,Senior,C#,78000,German,1000+,Consulting
30,Male,Berlin,Software Engineer,10,Senior,Scala,78000,English,101-1000,Product
32,Female,Berlin,QA Engineer,10,Senior,Java,78000,English,101-1000,Product
31,Male,Munich,Software Engineer,10,Senior,Java,78000,English,1000+,Product
37,Male,Berlin,Software Engineer,10,Senior,PHP,78000,English,Nov-50,Startup
32,Female,Kempten,Fullstack Developer,10,Middle,C#,78000,English,51-100,Product
30,Male,Berlin,Software Engineer,10,Lead,Python,78000,English,101-1000,Startup
34,Male,Berlin,QA Engineer,10,Senior,Java,78000,English,101-1000,Startup
34,Male,Munich,Cloud Architect,10,Senior,Azure,78000,English,1000+,Cloud
33,Male,Munich,Software Engineer,10,Senior,Java,78000,English,101-1000,Product
32,Male,Frankfurt,Network Engineer,10,Senior,Python,78000,English,101-1000,Product
31,Male,Berlin,Frontend Developer,10,Senior,Javascript / Typescript,78000,English,51-100,Startup
40,Male,Berlin,VP Engineering,10,VP,Javascript,78000,English,51-100,Product
33,Male,Berlin,ML Engineer,10,Middle,Python,78000,English,51-100,Startup
35,Male,Berlin,Product Manager,10,Senior,PHP,78000,English,101-1000,Product
31,Male,Berlin,Data Scientist,10,Lead,Python,78000,English,1000+,Product
31,Male,Mannheim,Firmware Engineer,10,Senior,C,78000,English,Nov-50,Product
35,Male,Berlin,ML Engineer,10,Lead,Scala,78000,English,Nov-50,Product
30,Female,Munich,Mobile Developer,10,Senior,Swift,78000,English,1000+,Product
45,Male,Berlin,Mobile Developer,10,Lead,SWIFT,78000,English,101-1000,Product
30,Male,Berlin,Backend Developer,10,Middle,PHP,78000,English,1000+,Product
32,Male,Berlin,DevOps Manager,10,Lead,DevOps,78000,English,1000+,Product
31,Male,Berlin,QA Engineer,10,Senior,nothing,78000,English,1000+,Product
33,Male,Berlin,iOS Developer,10,Middle,Swift,78000,English,1000+,Product
33,Male,Frankfurt,Software Engineer,10,Senior,.NET,78000,English,up to 10,Startup
38,Male,Munich,ML Engineer,10,Lead,Python,78000,English,51-100,Consulting
34,Male,Berlin,Security Engineer,10,Senior,Python,78000,English,1000+,Product
33,Male,Munich,Business Analyst,10,Senior,Java,78000,English,101-1000,Product
35,Male,Berlin,Support Engineer,10,Senior,PHP,78000,English,101-1000,Product
34,Male,Berlin,Frontend Developer,10,Senior,Angular,78000,English,Nov-50,Startup
33,Male,Hamburg,Software Engineer,10,Senior,Ruby,78000,English,101-1000,Product
34,Male,Berlin,Software Engineer,10,Senior,C++,77700,English,101-1000,Product
33,Male,Munich,Software Engineer,10,Senior,C#,77600,German,51-100,Product
33,Male,Berlin,Software Engineer,10,Middle,iOS,77500,English,1000+,Product
46,Male,Munich,Software Engineer,10,Senior,Python,77500,English,51-100,Startup
33,Male,Berlin,Software Engineer,10,Senior,Salesforce,77400,English,Nov-50,Startup
36,Male,Hamburg,Backend Developer,10,Senior,Scala,77250,German,51-100,Product
29,Male,Berlin,Backend Developer,10,Senior,Ruby,77000,English,101-1000,Product
32,Male,Munich,Software Engineer,10,Senior,Java,77000,English,1000+,Product
38,Male,Berlin,Mobile Developer,10,Senior,Swift,77000,English,1000+,Product
32,Male,Berlin,CTO,10,CTO,Java,77000,English,101-1000,Product
38,Male,Dresden,Software Engineer,10,Lead,Go,77000,German,51-100,Product
33,Male,Berlin,Director of Engineering,10,Director,PHP,77000,English,1000+,Product
34,Male,Berlin,Software Engineer,10,Senior,.Net,77000,English,Nov-50,Product
30,Male,Munich,Software Engineer,10,Senior,.NET,77000,English,1000+,Product
32,Male,Berlin,Engineering Manager,10,Middle,Javascript / Typescript,77000,English,101-1000,Product
33,Male,Lübeck,Software Engineer,10,Middle,C#,77000,German,101-1000,Product
31,Male,Berlin,Software Engineer,10,Lead,Python,77000,English,101-1000,Startup
30,Male,Berlin,Software Engineer,10,Senior,Java,77000,English,Nov-50,Startup
31,Male,Berlin,Mobile Developer,10,Senior,Swift,77000,English,1000+,Product
36,Female,Munich,Frontend Developer,10,Middle,Javascript / Typescript,77000,German,101-1000,Product
34,Male,Berlin,Mobile Developer,10,Senior,Android,77000,English,51-100,Product
36,Male,Berlin,Software Engineer,10,Senior,Javascript / Typescript,77000,German,1000+,Product
32,Male,Berlin,Software Engineer,10,Middle,Javascript / Typescript,77000,English,51-100,Startup
29,Male,Berlin,Backend Developer,10,Senior,Scala,76900,English,Nov-50,Startup
35,Male,Berlin,Frontend Developer,10,Senior,Javascript / Typescript,76500,English,1000+,Startup
31,Male,Salzburg,Chief Research Officer,10,C-Level,Python,76500,English,51-100,Startup
35,Male,Berlin,SRE,10,Senior,Terraform,76000,English,101-1000,Product
28,Female,Amsterdam,Program Manager,10,Senior,Management,76000,English,1000+,Product
32,Male,Cologne,DevOps,10,Middle,Bash,76000,English,101-1000,Product
32,Female,Berlin,QA Engineer,10,Middle,Java,76000,English,1000+,Product
34,Male,Berlin,QA Engineer,10,Senior,Javascript,76000,English,1000+,Product
39,Male,Hamburg,Data Scientist,10,Senior,R,76000,English,1000+,Energy
33,Male,Berlin,Software Engineer,10,Lead,Javascript / Typescript,76000,English,101-1000,Startup
34,Male,Berlin,QA Engineer,10,Lead,Java,76000,English,101-1000,Startup
33,Male,Berlin,Software Engineer,10,Lead,C++,76000,English,1000+,Product
31,Male,Munich,Software Engineer,10,Lead,Java,76000,English,101-1000,Product
35,Male,Berlin,Software Engineer,10,Senior,PHP,76000,German,up to 10,Product
32,Male,Berlin,Software Engineer,10,Lead,Javascript / Typescript,76000,Deuglisch,1000+,Concern
32,Female,Munich,Data Engineer,10,Middle,Python,76000,English,Nov-50,Startup
32,Male,Berlin,QA Engineer,10,Senior,Javascript,75700,English,1000+,Product
43,Male,Cologne,Backend Developer,10,Senior,PHP,75000,German,101-1000,Product
32,Male,Berlin,Backend Developer,10,Lead,Ruby,75000,English,51-100,Product
35,Male,Konstanz,Data Scientist,10,Middle,Python,75000,English,51-100,Product
32,Male,Berlin,DevOps,10,Middle,Python,75000,English,101-1000,Product
42,Female,Berlin,QA Engineer,10,Middle,Javascript / Typescript,75000,English,Nov-50,Startup
33,Male,Berlin,Frontend Developer,10,Senior,Javascript,75000,English,101-1000,Startup
30,Male,Munich,Software Engineer,10,Senior,Офмф,75000,English,Nov-50,Product
33,Male,Berlin,Software Engineer,10,Senior,Python,75000,English,1000+,Product
39,Male,Berlin,Frontend Developer,10,Senior,Javascript / Typescript,75000,English,101-1000,Product
33,Male,Berlin,Software Engineer,10,Senior,golang,75000,English,101-1000,Product
44,Male,Frankfurt,Software Engineer,10,Senior,SAP ABAP,75000,Russian,101-1000,Product
30,Male,Munich,Software Engineer,10,Senior,Go,75000,English,1000+,Startup
31,Male,Amsterdam,Data Scientist,10,Lead,Python,75000,English,Nov-50,Product
33,Male,Munich,Backend Developer,10,Senior,Java,75000,English,Nov-50,Consulting
30,Male,Berlin,Software Engineer,10,Lead,Frontend,75000,English,1000+,Consulting
34,Male,Berlin,BI Developer,10,Senior,SQL,75000,English,101-1000,Product
32,Female,Berlin,QA Engineer,10,Lead,Java,75000,German,1000+,Product
33,Male,Munich,SRE,10,Senior,PHP,75000,English,1000+,Product
32,Male,Munich,Frontend Developer,10,Lead,Javascript,75000,English,Nov-50,Startup
31,Male,Munich,Professor,10,Lead,Python,75000,German,101-1000,Education
29,Male,Helsinki,Frontend Developer,10,Senior,Javascript / Typescript,75000,English,101-1000,Product
32,Female,Berlin,Engineering Team Lead,10,Lead,QA,75000,English,101-1000,Product
37,Male,Berlin,Data Scientist,10,Senior,Python,75000,English,101-1000,Product
32,Male,Vienna,DataOps Team Lead,10,Lead,Java,75000,German,1000+,Product
30,Male,Berlin,Software Engineer,10,Senior,Ruby,75000,English,1000+,Product
