Age,Gender,City,Position,Total years of experience,Seniority level,Your main technology,Yearly brutto salary in EUR,Main language at work,Company size,Company type
41,Male,Berlin,Crypto Developer,20,Senior,Solidity,120000,English,up to 10,Consulting
30,Male,Munich,Manager,20,Senior,Java,120000,English,1000+,Product
40,Male,Amsterdam,System Administrator,20,Middle,Not Relevant,120000,English,1000+,Product
41,Male,Munich,Backend Developer,20,Senior,Java,120000,English,1000+,Product
45,Female,Munich,Backend Developer,20,Senior,C++,120000,Deutsch,101-1000,Product
42,Male,Munich,Fullstack Developer,20,Senior,.NET,120000,Deutsch,up to 10,Product
43,Male,Hamburg,support,20,Middle,Not Relevant,120000,English,101-1000,Startup
46,Male,Munich,SRE,20,Lead,Openstack,120000,English,1000+,Product
36,Male,Berlin,Backend Developer,19,Senior,PHP,120000,English,101-1000,Product
41,Male,Munich,Senior Program Manager,19,Senior,Autonomous Driving,120000,English,101-1000,Product
41,Male,Berlin,Software Engineer,19,Lead,Python,120000,English,1000+,Product
41,Male,Munich,Software Engineer,19,Senior,Java,115000,English,101-1000,Product
39,Male,Berlin,Software Engineer,19,Senior,Golang,115000,English,Nov-50,Startup
42,Male,Berlin,Backend Developer,19,Senior,PHP,115000,English,101-1000,Product
36,Male,Berlin,Support,19,Middle,Azure,115000,English,101-1000,Startup
30,Male,Munich,Manager,19,Senior,Not Relevant,115000,English,1000+,Product
30,Female,Bayern,DevOps,19,Senior,.NET,115000,Deutsch,101-1000,Product
45,Male,Munich,Backend Developer,19,Senior,PHP,115000,Deutsch,101-1000,Product
42,Male,Tallinn,Backend Developer,19,Senior,Java,115000,English,101-1000,Product
41,Male,Munich,Backend Developer,19,Senior,.NET,115000,English,1000+,Product
41,Male,Kyiv,Backend Developer,19,Senior,.NET,115000,Russian,51-100,Product
38,Male,Berlin,Team Lead,18,Lead,iOS,115000,English,101-1000,Product
36,Male,Berlin,Backend Developer,18,Senior,PHP,115000,English,101-1000,Product
40,Male,Munich,QA Engineer,18,Lead,Java,114000,German,1000+,Product
40,Male,Berlin,Backend Developer,18,Senior,PHP,113000,English,1000+,Product
37,Male,Malta,Software Architect,18,Head,Go,113000,English,Nov-50,Startup
40,Male,Munich,Software Engineer,18,Senior,Java,112000,German,up to 10,Consulting
36,Male,Berlin,Engineering Manager,18,Head,C++,112000,English,1000+,Product
41,Male,Berlin,Software Engineer,18,Lead,PHP,112000,English,51-100,Product
41,Male,Berlin,Software Engineer,18,Senior,Javascript / Typescript,110500,English,up to 10,Startup
42,Male,Berlin,Backend Developer,18,Middle,PHP,110000,English,Nov-50,Product
43,Male,Munich,Product Manager,18,Lead,.NET,110000,English,1000+,Product
38,Male,Berlin,Backend Developer,18,Senior,Not Relevant,110000,English,101-1000,Product
40,Male,Berlin,Software Architect,18,Senior,Not Relevant,110000,English,1000+,Product
40,Male,Berlin,Backend Developer,18,Senior,Python,110000,English,1000+,Product
36,Male,Berlin,Data Scientist,18,Middle,Python,110000,English,101-1000,Product
40,Male,Frankfurt,Manager,18,Senior,Not Relevant,110000,English,1000+,Outsourcing
40,Female,Berlin,Backend Developer,18,Senior,Java,110000,English,1000+,Product
39,Male,Dubai,Researcher,18,Senior,Python,110000,English,1000+,Startup
42,Male,Frankfurt,Manager,18,Senior,Not Relevant,110000,Deutsch,1000+,Consulting
37,Male,Amsterdam,Fullstack Developer,18,Middle,Perl,110000,English,1000+,Product
41,Female,Munich,Manager,18,Senior,Not Relevant,110000,Deutsch,1000+,Product
42,Male,Berlin,DevOps,18,Senior,AWS,110000,English,51-100,Product
45,Male,Munich,Data Engineer,18,Senior,Not Relevant,110000,English,1000+,Product
37,Male,Berlin,Backend Developer,17,Senior,C#,110000,English,101-1000,Product
36,Male,Berlin,Software Engineer,17,Lead,PHP,110000,English,101-1000,Product
39,Male,Munich,DBA,17,Senior,Oracle,110000,English,101-1000,Product
42,Male,Berlin,Software Engineer,17,Senior,Go,110000,English,101-1000,Startup
40,Male,Bodensee,Product Manager,17,Lead,Linux Kernel,109000,German,Nov-50,Product
35,Male,Munich,DevOps,17,Lead,,108700,English,1000+,Consulting
37,Male,Berlin,Mobile Developer,17,Senior,Swift,108500,English,1000+,Product
36,Male,Berlin,DevOps,17,Head,Python,108000,English,101-1000,Product
35,Male,Düsseldorf,DevOps,17,Senior,Linux,108000,English,1000+,Consulting
37,Male,Munich,DevOps,17,Senior,AWS,107685,English,1000+,Consulting
38,Male,Munich,Software Architect,17,Senior,C++,107000,English,1000+,Product
38,Male,Munich,Fullstack Developer,17,Lead,Javascript / Typescript,107000,English,101-1000,Product
39,Female,Munich,Backend Developer,17,Middle,Java,107000,Deutsch,1000+,Product
35,Male,Berlin,Backend Developer,17,Senior,PHP,107000,Russian,101-1000,Product
37,Male,Munich,Backend Developer,17,Senior,Java,106320,English,101-1000,Product
38,Male,Walldorf,Fullstack Developer,17,Senior,Javascript / Typescript,106000,Deutsch,1000+,Product
41,Male,Amsterdam,Backend Developer,17,Senior,Java,106000,English,101-1000,Startup
37,Male,Berlin,Backend Developer,17,Lead,Python,106000,English,1000+,Product
37,Male,Utrecht,Product manager,17,Middle,Java,106000,English,101-1000,Product
38,Male,Berlin,Software Engineer,16,Senior,Python,106000,English,1000+,Product
38,Male,Frankfurt,Tech Lead,16,Lead,.Net,106000,English,101-1000,Fintech
38,Male,Berlin,Software Engineer,16,Senior,ABAP,106000,English,1000+,Startup
35,Male,Munich,Software Engineer,16,Lead,PHP,105600,English,101-1000,Product
33,Male,Berlin,Software Engineer,16,Senior,Java,105000,English,1000+,Product
42,Male,Wroclaw,Software Engineer,16,Senior,Java,105000,English,1000+,Product
38,Male,Dublin,Mobile Developer,16,Senior,Swift,105000,English,101-1000,Product
37,Male,Berlin,Mobile Developer,16,Senior,iOS,105000,English,101-1000,Product
36,Male,Munich,DevOps,16,Senior,SRE,105000,English,1000+,Product
36,Male,Frankfurt,Software Engineer,16,Middle,.Net,105000,German,51-100,Consulting
35,Male,Berlin,Consultant,16,Senior,Python,105000,English,1000+,Product
34,Male,Berlin,Software Engineer,16,Lead,Ruby,105000,English,101-1000,Startup
40,Male,Hildesheim,Software Engineer,16,Senior,C++,105000,English,1000+,Product
39,Male,Siegen,Software Engineer,16,Senior,Embedded,105000,Russian,1000+,Product
38,Male,Munich,Software Engineer,16,Senior,.NET,105000,English,101-1000,Product
36,Male,Berlin,Backend Developer,16,Lead,Scala,105000,English,101-1000,Startup
37,Male,Berlin,Software Engineer,16,Senior,Java,105000,English,101-1000,Product
36,Male,Stuttgart,Mobile Developer,16,Lead,Java,105000,English,51-100,Product
38,Male,Berlin,Backend Developer,16,Senior,Ruby,105000,English,up to 10,Product
37,Male,Berlin,Data Engineer,16,Senior,Scala,104000,English,1000+,Product
35,Male,Munich,DevOps,16,Senior,Yaml,104000,Deutsch,1000+,Consulting
39,Male,Berlin,Backend Developer,16,Senior,Java,103000,English,101-1000,Startup
42,Male,Munich,Fullstack Developer,16,Middle,Java,103000,Deutsch,51-100,Consulting
35,Male,Frankfurt,Backend Developer,16,Senior,PHP,103000,English,51-100,Product
36,Male,Stuttgart,Mobile Developer,16,Senior,Javascript / Typescript,102000,English,101-1000,Product
34,Male,Munich,Manager,16,Senior,PHP,102000,English,1000+,Product
35,Male,Berlin,Backend Developer,16,Senior,PHP,100164,English,101-1000,Product
35,Male,Munich,Backend Developer,16,Senior,Java,100001,Russian,Nov-50,Product
30,Male,Munich,Manager,16,Senior,R,100001,English,1000+,Consulting
30,Male,Munich,Manager,16,Senior,R,100000,English,1000+,Consulting
36,Male,Bielefeld,Fullstack Developer,16,Senior,PHP,100000,English,Nov-50,Product
33,Male,Berlin,Head of Engineering,16,Senior,Not Relevant,100000,English,101-1000,Product
35,Male,Berlin,Tech Lead,16,Senior,AWS,100000,English,101-1000,Product
38,Male,Berlin,Software Architect,16,Senior,Javascript / Typescript,100000,English,1000+,Product
35,Male,Frankfurt,Backend Developer,16,Senior,C++,100000,English,101-1000,Product
35,Male,Berlin,Fullstack Developer,16,Senior,Javascript / Typescript,100000,English,101-1000,Product
35,Male,Amsterdam,Backend Developer,16,Senior,Java,100000,English,1000+,Bank
37,Male,Eindhoven,Backend Developer,16,Senior,.NET,100000,English,1000+,Product
39,Male,Amsterdam,Mobile Developer,16,Senior,Swift,100000,English,51-100,Product
40,Male,Munich,Manager,16,Senior,Not Relevant,100000,English,101-1000,Product
35,Male,Berlin,Software Engineer,15,Lead,Java,100000,English,101-1000,Product
34,Male,Berlin,Software Architect,15,Lead,NodeJS,100000,English,1000+,Product
49,Male,Berlin,Software Engineer,15,Senior,Java,100000,German,1000+,Product
38,Male,Stuttgart,Hardware Engineer,15,Lead,Hardware,100000,English,1000+,Product
36,Male,Munich,Backend Developer,15,Senior,Java,100000,English,1000+,Product
37,Male,Munich,Software Engineer,15,Senior,PHP,100000,German,101-1000,Product
35,Female,Berlin,Software Engineer,15,Senior,C#,100000,German,1000+,Product
35,Male,Berlin,Software Engineer,15,Senior,go,100000,English,51-100,Startup
53,Male,Stuttgart,Frontend Developer,15,Senior,Javascript / Typescript,100000,German,101-1000,Product
33,Male,Munich,Backend Developer,15,Lead,Scala,100000,English,Nov-50,Startup
37,Male,Berlin,Cloud Engineer,15,Senior,Cloud,100000,English,1000+,Product
34,Male,Berlin,Backend Developer,15,Senior,Elixir,100000,English,51-100,Product
37,Male,Berlin,Software Engineer,15,Senior,Scala,100000,English,1000+,Product
38,Male,Stuttgart,Software Engineer,15,Senior,C#,100000,English,Nov-50,Product
37,Male,Heidelberg,Software Engineer,15,Senior,ABAP,100000,English,1000+,Product
34,Male,Berlin,Software Engineer,15,Lead,Java,100000,English,1000+,Product
37,Male,Hamburg,Software Engineer,15,Senior,Java,100000,English,Nov-50,Startup
39,Male,Berlin,DevOps,15,Senior,Python,100000,English,101-1000,Product
36,Male,Munich,IT Spezialist,15,Senior,AWS,100000,German,1000+,Product
38,Male,Munich,Software Engineer,15,Senior,Javascript / Typescript,100000,English,51-100,Corporation
38,Male,Berlin,Data Scientist,15,Head,Python,100000,English,101-1000,Startup
40,Male,Berlin,Engineering manager,15,Head,Python,100000,English,1000+,Product
35,Male,Berlin,Software Engineer,15,Principal,C++,100000,English,1000+,Product
38,Male,Berlin,Data Scientist,15,Senior,Python,100000,English,Nov-50,Product
37,Male,Berlin,Embedded Software Engineer,15,Senior,C++,100000,English,1000+,Product
32,Male,Amsterdam,Backend Developer,15,Senior,Golang,100000,English,Nov-50,Product
45,Female,Berlin,Product Manager,15,Lead,Java,100000,English,Nov-50,Product
35,Male,Frankfurt,Backend Developer,15,Senior,C,99000,German,51-100,Product
35,Male,Berlin,Software Engineer,15,Senior,.NET,99000,English,Nov-50,Consulting
38,Male,Munich,Software Engineer,15,Senior,Java,99000,English,Nov-50,Product
38,Male,Berlin,Data Scientist,15,Head,Python,98000,English,101-1000,Startup
44,Male,Kyiv,Business Analyst,15,Head,UML,98000,English,101-1000,Consulting
39,Male,Berlin,Engineering Manager,15,Lead,Java,98000,German,101-1000,Product
38,Male,Berlin,Software Engineer,15,Senior,Go,98000,English,101-1000,Product
37,Male,Munich,Software Engineer,15,Senior,C#,98000,German,51-100,Consulting
35,Male,Berlin,Software Engineer,15,Senior,Java,98000,English,Nov-50,Product
37,Male,Walldorf,ML Engineer,15,Lead,Python,98000,English,1000+,Product
36,Male,Berlin,CTO,15,C-Level,Java,96000,German,101-1000,Media
35,Male,Berlin,Data Scientist,15,Middle,C++,96000,English,101-1000,Product
36,Male,Zurich,Backend Developer,15,Senior,C++,96000,English,1000+,Product
48,Male,Madrid,DevOps,15,Senior,Python,96000,English,up to 10,Startup
38,Male,Cologne,Software Engineer,15,Senior,C#,96000,English,up to 10,Product
30,Male,Berlin,Backend Developer,15,Middle,Elixir,96000,English,101-1000,Consulting
36,Male,Bonn,DevOps,15,Junior,Jenkins bash,96000,English,Nov-50,Product
38,Male,Berlin,Backend Developer,15,Middle,PHP,96000,English,Nov-50,Consulting
36,Male,Berlin,Staff Engineer,15,Lead,Go,96000,English,1000+,Product
40,Male,Munich,Data Engineer,15,Lead,SQL,96000,English,101-1000,Product
35,Male,Berlin,Software Engineer,15,Senior,Java,96000,English,101-1000,Product
35,Male,Munich,Software Engineer,15,Head,SQL,95500,English,Nov-50,Consulting
41,Male,Munich,Software Engineer,15,Senior,Kotlin,95000,German,1000+,Product
44,Male,Berlin,QA Lead,15,Lead,Java,95000,English,Nov-50,Product
39,Male,Berlin,Software Engineer,15,Lead,Java,95000,English,51-100,Startup
33,Male,Berlin,Engineering Manager,15,Lead,Java,95000,English,1000+,Product
36,Male,Berlin,Software Engineer,15,Senior,PHP,95000,English,101-1000,Product
37,Male,Aachen,QA Engineer,15,Senior,Python,95000,English,101-1000,Product
36,Male,Munich,Software Engineer,15,Senior,PL/SQL,95000,English,1000+,Consulting
37,Male,Berlin,Mobile Developer,15,Senior,Android,95000,English,101-1000,Product
39,Male,Munich,IT Operations Manager,15,Lead,PHP,95000,English,101-1000,eCommerce
38,Male,Berlin,Manager,15,Head,Not Relevant,95000,Deutsch,101-1000,Product
35,Male,Frankfurt,Business Analyst,15,Middle,Not Relevant,95000,English,1000+,Product
37,Male,Berlin,Localization,15,Senior,Not Relevant,95000,English,1000+,Product
40,Male,Berlin,Manager,15,Senior,Not Relevant,95000,English,101-1000,Product
36,Male,Berlin,Manager,15,Lead,PHP,95000,English,1000+,Product
35,Male,Munich,Software Architect,15,Principal,Google Cloud,95000,Deutsch,101-1000,Consulting
42,Female,Munich,Business Analyst,15,Senior,Not Relevant,95000,Deutsch,1000+,Outsourcing
36,Male,Berlin,Fullstack Developer,15,Senior,Javascript / Typescript,95000,English,101-1000,Product
39,Male,Munich,Desktop/Unity3D Developer,15,Senior,.NET,95000,Deutsch,Nov-50,Product
34,Male,Cologne,Manager,15,Senior,Not Relevant,95000,English,1000+,Consulting
35,Male,Munich,Software Architect,15,Senior,AWS,95000,Russian,1000+,Product
40,Male,Munich,Product Manager,15,Middle,Not Relevant,95000,English,1000+,Product
33,Male,Munich,Fullstack Developer,15,Senior,PHP,95000,English,101-1000,Product
35,Male,Düsseldorf,DevOps,15,Senior,AWS,95000,Deutsch,up to 10,Consulting
37,Male,Berlin,Software Architect,15,Senior,Java,95000,English,101-1000,Product
36,Male,Berlin,Manager,15,Senior,Not Relevant,95000,English,101-1000,Product
33,Male,Kyiv,System Administrator,15,Middle,Not Relevant,95000,Russian,Nov-50,Consulting
39,Male,Munich,Fullstack Developer,15,Senior,PHP,95000,English,101-1000,Product
36,Male,Munich,DevOps,15,Senior,AWS,95000,English,101-1000,Consulting
35,Male,Munich,DevOps,15,Senior,Java,95000,Deutsch,1000+,Product
39,Male,Warsaw,Researcher,15,Senior,SAS,95000,English,101-1000,Product
43,Male,Hamburg,Software Architect,15,Senior,Java,94000,English,up to 10,Startup
36,Male,Berlin,DevOps,15,Senior,AWS,94000,English,51-100,Startup
38,Male,Cork,Software Architect,15,Senior,SQL,93000,English,1000+,Product
30,Male,Berlin,Backend Developer,15,Senior,PHP,93000,English,101-1000,Product
44,Male,Hamburg,"CTO (CEO, CFO)",15,Senior,PHP,93000,Deutsch,101-1000,Product
37,Male,Berlin,Manager,15,Senior,Python,93000,English,101-1000,Startup
40,Female,Munich,Backend Developer,15,Middle,C++,93000,English,101-1000,Product
40,Female,Munich,Backend Developer,15,Middle,C++,92500,English,101-1000,Product
37,Male,Berlin,Data Scientist,15,Senior,Not Relevant,92000,English,Nov-50,Startup
37,Male,Dublin,Manager,15,Senior,Not Relevant,92000,English,1000+,Product
35,Male,Berlin,Fullstack Developer,15,Senior,PHP,92000,English,1000+,Product
35,Male,Berlin,Data Engineer,15,Senior,Python,92000,English,101-1000,Product
45,Female,Berlin,QA,15,Senior,Java,92000,English,101-1000,Startup
48,Male,Berlin,Backend Developer,15,Senior,Java,92000,Deutsch,101-1000,Outsourcing
38,Male,Frankfurt,Software Architect,15,Senior,Java,92000,Deutsch,1000+,Product
40,Male,Munich,Fullstack Developer,15,Senior,Java,92000,Deutsch,up to 10,Consulting
38,Male,Berlin,DevOps,15,Middle,Python,91000,English,101-1000,Product
33,Male,Amsterdam,Manager,15,Senior,Not Relevant,91000,English,1000+,Consulting
